Well,clone,date,sex,location,accuratelocation,notes,
RobertUK_D9,BeaverCreek_06,2023,,US,BeaverCreek,,
Gilmer5_F1,BeaverCreek_Eppegg,11/24/2023,,US,BeaverCreek,,
RobertUK_A11,BirdHut_03,2023,,UK,Lincoln,,
RobertUK_B8,BirdHut_06,2023,,UK,Lincoln,,
RobertUK_H5,BirdHut_06,2023,,UK,Lincoln,,
RobertUK_B7,BLANK,,,,,,
Rockpool1_B4,BLANK,,,,,,
Rockpool2_G6,BLANK,,,,,,
Rockpool3_H10,BLANK,,,,,,
Rockpool4_A12,Blank,,,,,,
Gilmer5_D1,BLANK,,,,,,
Gilmer5_H6,BLANK,,,,,,
RobertUK_C10,Cafe_01,2023,,UK,Melford,,
RobertUK_E5,Cafe_03,2023,,UK,Melford,,
RobertUK_H7,Cafe_05,2023,,UK,Melford,,
RobertUK_F5,Cafe_2410,2024,,UK,Melford,,
RobertUK_G12,Canal_01,2023,,UK,Reading,,
RobertUK_C4,Canal_02,2023,,UK,Reading,,
RobertUK_G5,Canal_03,2023,,UK,Reading,,
Gilmer5_B1,copepod,12/22/2023,,US,Gilmer,,
Gilmer5_H10,D8.4A,2012,,UK,Dorset,,
Gilmer5_H11,D8.4A,2012,,UK,Dorset,,
Gilmer5_H12,D8.4A,2012,,UK,Dorset,,
RobertUK_D3,D8_2352,2023,,UK,Dorset,,
RobertUK_C7,D8_2355,2023,,UK,Dorset,,
RobertUK_H1,D8_2360,2023,,UK,Dorset,,
RobertUK_E9,D8_2367,2023,,UK,Dorset,,
RobertUK_A12,DBunk_2351,2023,,UK,Dorset,,
RobertUK_D4,DBunk_2357,2023,,UK,Dorset,,
RobertUK_H11,DBunk_2359,2023,,UK,Dorset,,
RobertUK_E11,DBunk_2360,2023,,UK,Dorset,,
RobertUK_F2,DBunk_2409,2024,,UK,Dorset,,
RobertUK_H2,DCat_2353,2023,,UK,Dorset,,
RobertUK_B4,DCat_2356,2023,,UK,Dorset,,
RobertUK_G4,DCat_2364,2023,,UK,Dorset,,
RobertUK_F1,DCat_2453,2024,,UK,Dorset,,
RobertUK_A5,DIris_02,2023,,UK,Dorset,,
RobertUK_H10,DIris_03,2023,,UK,Dorset,,
RobertUK_H12,DLily_2301,2023,,UK,Dorset,,
RobertUK_C11,DLily_2362,2023,,UK,Dorset,,
RobertUK_E10,DLily_2365,2023,,UK,Dorset,,
RobertUK_F8,DMountie_2407,2024,,UK,Dorset,,
RobertUK_G11,DMountie_50.6,2023,,UK,Dorset,,
RobertUK_F3,DMud_2459,2024,,UK,Dorset,,
RobertUK_F4,DNorden_2402,2024,,UK,Dorset,,
RobertUK_B11,Gilmer_2303,2023,,US,Gilmer,,
Rockpool4_C1,Gilmer,6/29/2023,F,US,Gilmer,large,
Rockpool4_C2,Gilmer,6/29/2023,F,US,Gilmer,large,
Rockpool4_D1,Gilmer,6/29/2023,F,US,Gilmer,small,lotofvorticella
Rockpool4_D2,Gilmer,6/29/2023,F,US,Gilmer,small,lotofvorticella
Rockpool4_D3,Gilmer,6/29/2023,F,US,Gilmer,small,lotofvorticella
Rockpool4_D4,Gilmer,6/29/2023,F,US,Gilmer,small,lotofvorticella
Rockpool4_D5,Gilmer,6/29/2023,F,US,Gilmer,small,lotofvorticella
Rockpool4_D6,Gilmer,6/29/2023,F,US,Gilmer,small,lotofvorticella
