Plate,Date Collected,Pond,Clone,Replicate,Well,Time,Hatch1,Hatch1HD,Hatch2,Hatch2HD,Dried
052724A,5/27/2024,P19,50,R1,A1,1,,,,,
052724A,5/27/2024,P19,50,R1,A2,1,,,,,
052724A,5/27/2024,P19,50,R1,A3,1,,,,,
052724A,5/27/2024,P19,50,R1,A4,1,,,,,
052724A,5/27/2024,P19,50,R1,A5,1,,,,,
052724A,5/27/2024,P19,50,R1,A6,1,,,,,
052724A,5/27/2024,P19,50,R1,A7,1,,,,,
052724A,5/27/2024,P19,50,R1,A8,1,,,,,
052724A,5/27/2024,P19,50,R1,A9,1,,,,,
052724A,5/27/2024,P19,50,R1,A10,1,,,,,
052724A,5/27/2024,P19,50,R1,A11,1,,,,,
052724A,5/27/2024,P19,50,R1,A12,1,,,,,
052724A,5/27/2024,P19,50,R2,B1,1,,,,,
052724A,5/27/2024,P19,50,R2,B2,1,2-Jul,D,,,
052724A,5/27/2024,P19,50,R2,B3,1,,,,,
052724A,5/27/2024,P19,50,R2,B4,1,,,,,
052724A,5/27/2024,P19,50,R2,B5,1,,,,,
052724A,5/27/2024,P19,50,R2,B6,1,25-Jun,H,,,
052724A,5/27/2024,P19,50,R2,B7,1,,,,,
052724A,5/27/2024,P19,50,R2,B8,1,,,,,
052724A,5/27/2024,P19,50,R2,B9,1,,,,,
052724A,5/27/2024,P19,50,R2,B10,1,,,,,
052724A,5/27/2024,P19,50,R2,B11,1,,,,,
052724A,5/27/2024,P19,50,R2,B12,1,,,,,
052724A,5/27/2024,P19,50,R3,C1,1,,,,,
052724A,5/27/2024,P19,50,R3,C2,1,,,,,
052724A,5/27/2024,P19,50,R3,C3,1,,,,,
052724A,5/27/2024,P19,50,R3,C4,1,,,,,
052724A,5/27/2024,P19,50,R3,C5,1,,,,,
052724A,5/27/2024,P19,50,R3,C6,1,,,,,
052724A,5/27/2024,P19,50,R3,C7,1,,,,,
052724A,5/27/2024,P19,50,R3,C8,1,,,,,
052724A,5/27/2024,P19,50,R3,C9,1,,,,,
052724A,5/27/2024,P19,50,R3,C10,1,,,,,
052724A,5/27/2024,P19,50,R3,C11,1,,,,,
052724A,5/27/2024,P19,50,R3,C12,1,25-Jun,H,,,
052724A,5/27/2024,P19,50,R4,D1,1,,,,,
052724A,5/27/2024,P19,50,R4,D2,1,,,,,
052724A,5/27/2024,P19,50,R4,D3,1,,,,,
052724A,5/27/2024,P19,50,R4,D4,1,,,,,
052724A,5/27/2024,P19,50,R4,D5,1,,,,,
052724A,5/27/2024,P19,50,R4,D6,1,25-Jun,H,,,
052724A,5/27/2024,P19,50,R4,D7,1,,,,,
052724A,5/27/2024,P19,50,R4,D8,1,,,,,
052724A,5/27/2024,P19,50,R4,D9,1,,,,,
052724A,5/27/2024,P19,50,R4,D10,1,,,,,
052724A,5/27/2024,P19,50,R4,D11,1,,,,,
052724A,5/27/2024,P19,50,R4,D12,1,,,,,
052724A,5/27/2024,P19,50,R5,E1,1,,,,,
052724A,5/27/2024,P19,50,R5,E2,1,,,,,
