Plate,Date Collected,In_treatment,Out_treatment,Pond,Clone,Replicate,Well,Hatch1,Hatch1HD,Hatch2,Hatch2HD,Hatch3,Hatch3HD,Hatch4,Hatch4H,Temp,Dried,Light,DriedLater,Early,Late,Leftover_eggs
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,A1,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,A2,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,A3,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,A4,6/7,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,A5,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,A6,6/7,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,A7,4/17,HDE,6/14,HD,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,A8,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,A9,4/17,HDE,6/14,HD,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,A10,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,A11,6/7,HD,6/14,HD,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,A12,6/7,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,B1,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,B2,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,B3,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,B4,6/7,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,B5,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,B6,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,B7,6/7,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,B8,6/7,H,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,B9,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,B10,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,B11,6/7,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,B12,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,C1,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,C2,6/7,HD,6/14,HD,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,C3,6/7,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,C4,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,C5,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,C6,6/14,D,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,C7,6/7,D,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,C8,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,C9,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,C10,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,C11,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,C12,6/7,H,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,D1,6/7,D,6/7,D,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,D2,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,D3,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,D4,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,D5,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,D6,6/7,D,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,D7,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,D8,4/17,HDE,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,D9,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,D10,6/7,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,D11,6/7,H,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R1,D12,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,E1,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,E2,6/14,D,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,E3,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,E4,4/17,HDE,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,E5,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,E6,6/7,H,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,E7,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,E8,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,E9,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,E10,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,E11,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,E12,6/14,HD,6/14,HD,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,F1,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,F2,6/7,HD,6/14,HD,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,F3,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,F4,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,F5,4/17,HDE,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,F6,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,F7,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,F8,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,F9,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,F10,6/7,H,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,F11,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,F12,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,G1,6/7,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,G2,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,G3,6/7,D,6/14,HD,6/14,HD,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,G4,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,G5,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,G6,6/7,H,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,G7,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,G8,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,G9,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,G10,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,G11,4/17,HE,6/14,HD,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R2,G12,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R3,H1,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R3,H2,6/7,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R3,H3,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R3,H4,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R3,H5,6/7,D,6/7,D,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R3,H6,6/7,D,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R3,H7,6/7,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R3,H8,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R3,H9,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R3,H10,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R3,H11,,,,,,,,,Cold,Wet,Dark,,,,
040524A,4/3/24,5/4/24,6/1/24,P19,50,R3,H12,6/14,HD,,,,,,,Cold,Wet,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,A1,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,A2,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,A3,4/17,HDE,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,A4,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,A5,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,A6,6/25,H,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,A7,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,A8,4/17,HDE,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,A9,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,A10,4/17,DE,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,A11,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,A12,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,B1,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,B2,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,B3,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,B4,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,B5,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,B6,4/17,HE,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,B7,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,B8,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,B9,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,B10,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,B11,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,B12,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,C1,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,C2,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,C3,6/25,H,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,C4,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,C5,6/18,HD,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,C6,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,C7,,,,,,,,,Cold,Dry,Dark,,,,
