ephemerality,Pond,lat,long,ph1,watertemp,DistancetoRoad_m,depth_ft,airtempC,airtempF,GeneralHardness,Nitrite,Nitrate,CarbonateHardness,ph2,date,species,time,relsurfacearea
perm,Birdhut,"53.19086, -0.632353",Topright,7.25,NA,,NA,,,150,0,0,80,7.2,3/18/2023,D_pulex,,
,Cafe,"52.060338, 0.7088274",Melford,7.65,8.8,,2.5,,,300,0,0,80,7.8,3/15/2023,D_pulex,,
perm,Canal,"51.1079946, -0.5350191",Reading,6.9,10.3,,3,,,75,0,5,60,6.8,3/13/2023,D_pulex,,
int,D8,"50.642483, -2.091652",Dorset,7.55,13.5,,2.5,,,300,0,0,80,7.6,3/23/2023,D_pulex,,
eph,Dbunk,"50.64259	-2.09237",Dorset,7.23,13.5,,2,,,300,0,0,80,7.2,3/23/2023,D_pulex,,
perm,Dcat,"50.64245, -2.09121",Dorset,7.6,12.1,,3,,,75,0,0,40,7.6,3/23/2023,D_pulex,,
,Dcreech1,"50.649302, -2.103066",Dorset,6.95,11.3,,1,,,25,0,0,40,6.8,3/24/2023,NA,,
,Dcreech2,"50.649698, -2.103930",Dorset,7.65,11.7,,NA,,,50,0,0,40,6.4,3/24/2023,NA,,
eph,Diris,"50.644786, -2.083525",Dorset,6.82,12.6,,1,,,75,0,0,40,6.8,3/23/2023,D_obtusa,,
,Dlily,"50.642690, -2.090075",Dorset,7.4,11,,,,,150,0,0,80,7.2,3/23/2023,D_pulex,,
,Dmountie,"50.645270, -2.087337",Dorset,7,12.1,,NA,,,50,0,0,60,6.8,3/23/2023,D_pulex,,
perm,Dnorden,"50.644915, -2.082837",Dorset,7.13,11.7,,NA,,,150,0,0,60,7.2,3/23/2023,D_pulex,,
eph,Doak,"50.64321, -2.09183",Dorset,5.82,12.9,,NA,,,25,0,0,0,6.4,3/24/2023,D_obtusa,,
eph,Doily,"50.64321, -2.09183",Dorset,7.31,13.5,,1,,,150,0,0,80,7.2,3/24/2023,D_obtusa,,
eph,Drail,"50.655259, -2.093745",Dorset,6.4,12.5,,1,,,25,0,0,0,6.4,3/23/2023,D_obtusa,,
perm,Dramps,"50.643076, -2.090195",Dorset,7.12,12.9,,NA,,,150,0,0,40,6.8,3/23/2023,D_pulex,,
eph,Dtiny,"50.642978, -2.092374",Dorset,6.36,12.2,,1.5,,,75,0,0,0,6.4,3/23/2023,D_obtusa,,
eph,Elvis,"53.1973519, -0.63267486",Topright,6.35,NA,,1,,,75,0,0,40,6.4,3/18/2023,D_obtusa,,
perm,Melford,"52.0587460, 0.7091847",Melford,7.7,8.9,,5.3,,,300,0,0,80,7.2,3/15/2023,D_pulex,,
,P17,"51.346052, -0.931059",Reading,NA,NA,,2,12.22222222,54,25,0,0,40,6.8,3/13/2023,D_obtusa,,
,P19,"51.111720, -0.524786",Reading,6,10.8,,NA,,,75,0,0,40,6.8,3/13/2023,D_obtusa,,
,P25,"53.295671, -3.008023",Manchester,7.3,8.8,,2.5,,,25,0,0,40,6.8,3/17/2023,D_pulex,,
,P30,"54.047405, -1.425774",North,6.4,14.2,,2,11.66666667,53,75,0,0,20,6.4,3/19/2023,D_obtusa,,
eph,P6,"52.082746, 0.828459",Reading,7.15,10.7,0.66,4,,,75,0,0,80,7.6,3/14/2023,D_obtusa,,
,PIslands,"51.339417, -0.908203",Melford,6.8,11.2,,3.5,13.33333333,56,75,0,0,40,6.8,3/13/2023,D_pulex,,
perm,PottCarr1,"53.496057, -1.113718",PottericCarr,7.9,9.4,,3,,,150,0,0,80,7.8,3/19/2023,D_pulex,,
eph,PottCarr2,"53.496096, -1.111111",PottericCarr,7.07,11.4,,NA,,,75,0,0,40,7.2,3/19/2023,D_obtusa,,
eph,PottCarr3,"53.495725, -1.112190",PottericCarr,7.9,13,,3,,,300,0,0,120,8,3/20/2023,D_pulex,,
eph,Psnake,NA,,5.8,12.6,30,1.5,,,0,0,0,0,6.4,3/13/2023,D_obtusa,,
,PVet,"53.290366, -3.021249",Manchester,7.05,11,,1,,,300,0,0,40,7.2,3/17/2023,D_obtusa,,
,Shallow,"52.060193, 0.7090227",Melford,7.6,8.1,,2.5,,,300,0,0,120,7.8,3/15/2023,D_pulex,,
int,Stav1,"54.062929, -1.436836",North,7.75,12.5,,NA,11.66666667,53,300,0,0,80,7.6,3/19/2023,NA,,
,Stav2,"54.059490,-1.437444",North,9.15,NA,,NA,,,300,0,0,120,8,3/19/2023,NA,,
eph,Stav3,"54.063553, -1.440872",North,7.7,10.6,,1,,,300,0,0,80,7.6,3/19/2023,NA,,
eph,Warbler,"52.0606234, 0.7089288",Melford,7.5,7.5,,2.5,,,300,0,0,80,7.6,3/15/2023,D_pulex,,
,XXX_3,"52.055213,  0.820963",Melford,7.6,10.6,,1,7.222222222,45,300,0,0,40,7.2,3/14/2023,NA,,
,XXX_5,"52.099159,  0.947914",Melford,8,9,,2.5,,,300,0,0,120,8,3/15/2023,D_pulex,,
