Pond,coords,Lat,Long,Site,Putative_species
D8,"50.642483, -2.091652",50.642483,-2.091652,Dorset,pulex
DBunk,50.64259 -2.09237,50.64259,-2.09237,Dorset,pulex
DCat,"50.64245, -2.09121",50.64245,-2.09121,Dorset,pulex
Dcreech1,"50.649302, -2.103066",50.649302,-2.103066,Dorset,simo
Dcreech2,"50.649698, -2.103930",50.649698,-2.10393,Dorset,simo
DIris,"50.644786, -2.083525",50.644786,-2.083525,Dorset,obtusa
DLily,"50.642690, -2.090075",50.64269,-2.090075,Dorset,pulex
DMountie,"50.645270, -2.087337",50.64527,-2.087337,Dorset,pulex
DNorden,"50.644915, -2.082837",50.644915,-2.082837,Dorset,pulex
DOak,"50.64321, -2.09183",50.64321,-2.09183,Dorset,obtusa
DOily,"50.64321, -2.09183",50.64321,-2.09183,Dorset,obtusa
DRail,"50.655259, -2.093745",50.655259,-2.093745,Dorset,obtusa
DRamps,"50.643076, -2.090195",50.643076,-2.090195,Dorset,pulex
DTiny,"50.642978, -2.092374",50.642978,-2.092374,Dorset,obtusa
Birdhut,"53.19086, -0.632353",53.19086,-0.632353,Lincoln,pulex
P25,"53.295671, -3.008023",53.295671,-3.008023,Manchester,pulex
PVet,"53.290366, -3.021249",53.290366,-3.021249,Manchester,obtusa
Cafe,"52.060338, 0.7088274",52.060338,0.7088274,Melford,pulex
Warbler,"52.0606234, 0.7089288",52.0606234,0.7089288,Melford,pulex
Shallow,"52.060193, 0.7090227",52.060193,0.7090227,Melford,pulex
Melford,"52.0587460, 0.7091847",52.058746,0.7091847,Melford,pulex
XXX3,"52.055213, 0.820963",52.055213,0.820963,Melford,NA
P6,"52.082746, 0.828459",52.082746,0.828459,Melford,obtusa
XXX5,"52.099159, 0.947914",52.099159,0.947914,Melford,pulex
P30,"54.047405, -1.425774",54.047405,-1.425774,Knaresborough,obtusa
Stav1,"54.062929, -1.436836",54.062929,-1.436836,Knaresborough,NA
Stav2,"54.059490,-1.437444",54.05949,-1.437444,Knaresborough,NA
Stav3,"54.063553, -1.440872",54.063553,-1.440872,Knaresborough,NA
PottCarr1,"53.496057, -1.113718",53.496057,-1.113718,PottericCarr,pulex
PottCarr2,"53.496096, -1.111111",53.496096,-1.111111,PottericCarr,obtusa
PottCarr3,"53.495725, -1.112190",53.495725,-1.11219,PottericCarr,pulex
P17,"51.346052, -0.931059",51.346052,-0.931059,Reading,pulex
Islands,"51.339417, -0.908203",51.339417,-0.908203,Reading,pulex
Canal,"51.1079946, -0.5350191",51.1079946,-0.5350191,Reading,pulex
P19,"51.111720, -0.524786",51.11172,-0.524786,Reading,obtusa
Elvis,"53.1973519, -0.63267486",53.1973519,-0.63267486,Lincoln,obtusa
PSnake,NA,NA,,,obtusa
