#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:all_aligned_unique" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:all_aligned_unique" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:all_aligned_unique" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.all_aligned_unique" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:all_aligned_unique" name="distribution" x="@birthRate.t:all_aligned_unique">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@all_aligned_unique" id="treeLikelihood.all_aligned_unique" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:all_aligned_unique">
#            <siteModel id="SiteModel.s:all_aligned_unique" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:all_aligned_unique" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:all_aligned_unique" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:all_aligned_unique" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:all_aligned_unique" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:all_aligned_unique" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:all_aligned_unique" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
0	-1.5230667149978539E7	-1.5230651618061516E7	-15.531917021777117	-1.5230651618061516E7	1.9577683809166935	15.53191702177713	-15.531917021777117	1.0
1000	-1.3521168639071941E7	-1.352543744199489E7	4268.80292294913	-1.352543744199489E7	2.1132989128252584	41.861243924084675	4268.80292294913	51.89400630873698
2000	-1.2153435055710645E7	-1.2156669044000683E7	3233.9882900381544	-1.2156669044000683E7	2.392444647178665	82.43485954337652	3233.9882900381544	21.10009785391613
3000	-1.1292944968837686E7	-1.1295672514285753E7	2727.5454480664553	-1.1295672514285753E7	2.659739949461279	112.68152183988502	2727.5454480664553	14.644313983617211
4000	-1.069140236505322E7	-1.0693864094363058E7	2461.729309837795	-1.0693864094363058E7	2.896325307559163	130.83301316450658	2461.729309837795	14.644313983617211
5000	-1.0008186664122213E7	-1.0010502319249578E7	2315.6551273659725	-1.0010502319249578E7	2.7881648930243137	143.87354881526596	2315.6551273659725	9.942842941708285
6000	-9550973.36019126	-9553400.34577753	2426.9855862706327	-9553400.34577753	1.7485067773440968	132.67650390996465	2426.9855862706327	9.942842941708285
7000	-9150467.845285058	-9153065.899343856	2598.0540587970013	-9153065.899343856	1.453933491531156	121.9921093529471	2598.0540587970013	13.530001285377152
8000	-8891629.578687634	-8894279.24607575	2649.6673881142665	-8894279.24607575	1.45569428591604	118.17737731939933	2649.6673881142665	13.530001285377152
9000	-8582947.988267835	-8585662.663358737	2714.675090901346	-8585662.663358737	1.198457128165968	113.37266951369251	2714.675090901346	13.530001285377152
10000	-8333157.644751705	-8336096.508839945	2938.864088240035	-8336096.508839945	0.9458765424483069	96.8029004050239	2938.864088240035	13.530001285377152
11000	-8081747.648931337	-8084523.237687836	2775.5887565000385	-8084523.237687836	1.181180455627319	107.96543239417491	2775.5887565000385	17.713058954241976
12000	-7865279.052034041	-7868085.631454794	2806.5794207529925	-7868085.631454794	1.0126353537940465	106.21583824823861	2806.5794207529925	17.713058954241976
13000	-7696986.4570546	-7699778.689732447	2792.232677847272	-7699778.689732447	0.9164139923144837	107.55456531077746	2792.232677847272	13.443206650552437
14000	-7559250.245964331	-7562141.639530336	2891.39356600455	-7562141.639530336	0.9104604839331127	100.4051045810828	2891.39356600455	19.218524231385295
