Filename,Reference,Count
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A10.counts.txt,AY380446.1,41
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A10.counts.txt,mtdna_D8_119,2
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A11.counts.txt,AY380446.1,2165
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A11.counts.txt,NC_034297.1,14
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A11.counts.txt,mtdna2018_Pulicaria_Pond22_53,10
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A11.counts.txt,mtdna_D8_119,4
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A11.counts.txt,AF523699.1,2
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A11.counts.txt,AY380443.1,2
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A11.counts.txt,AY380453.1,2
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A12.counts.txt,AY380446.1,1996
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A12.counts.txt,mtdna_D8_119,10
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A12.counts.txt,NC_034297.1,8
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A12.counts.txt,mtdna2018_Pulicaria_Pond22_53,4
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A12.counts.txt,AY380443.1,2
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A1.counts.txt,AY380453.1,147
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A1.counts.txt,KP296147.1,30
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A1.counts.txt,ElvisCOI,5
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A1.counts.txt,AY380446.1,4
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A1.counts.txt,mtdna_D8_119,3
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A1.counts.txt,AY380454.1,1
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A2.counts.txt,AY380453.1,104
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A2.counts.txt,KP296147.1,27
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A2.counts.txt,ElvisCOI,17
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A2.counts.txt,AY380454.1,5
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A2.counts.txt,AY380446.1,4
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A2.counts.txt,MW201533.1,2
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A2.counts.txt,PP824112.1,2
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A3.counts.txt,AY380446.1,2014
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A3.counts.txt,NC_034297.1,22
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A3.counts.txt,mtdna2018_Pulicaria_Pond22_53,14
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A3.counts.txt,AY380443.1,5
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A3.counts.txt,mtdna_D8_119,4
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A3.counts.txt,AY380454.1,2
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A4.counts.txt,AY380446.1,10
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A5.counts.txt,AY380446.1,4138
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A5.counts.txt,NC_034297.1,34
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A5.counts.txt,mtdna_D8_119,20
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A5.counts.txt,mtdna2018_Pulicaria_Pond22_53,12
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A5.counts.txt,AY380443.1,6
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A5.counts.txt,AY380454.1,2
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A5.counts.txt,ElvisCOI,2
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A6.counts.txt,AY380446.1,18
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A7.counts.txt,AY380446.1,2093
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A7.counts.txt,AY380443.1,20
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A7.counts.txt,NC_034297.1,18
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A7.counts.txt,mtdna2018_Pulicaria_Pond22_53,10
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A7.counts.txt,mtdna_D8_119,8
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A7.counts.txt,AY380453.1,4
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A7.counts.txt,OQ713637.1,2
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A7.counts.txt,KP296147.1,1
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A8.counts.txt,AY380446.1,5698
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A8.counts.txt,NC_034297.1,60
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A8.counts.txt,mtdna2018_Pulicaria_Pond22_53,38
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A8.counts.txt,AY380443.1,28
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A8.counts.txt,mtdna_D8_119,16
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A8.counts.txt,AY380453.1,8
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A8.counts.txt,MK434272.1,8
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A8.counts.txt,HM883991.1,4
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A8.counts.txt,PV089802.1,4
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A8.counts.txt,KP296147.1,3
/scratch/rjp5nc/UK2022_2024/allshortreads/counts/Gilmer5_A8.counts.txt,MW201533.1,2
